cohort,set,hospitalid,n_test,events_test,auc,prauc,brier
full,Set_A,73,158,13,0.5206896551724138,0.1179782969359974,0.1202661382855098
full,Set_A,79,83,11,0.7714646464646464,0.550139701568273,0.1057806775289783
full,Set_A,122,32,6,0.7948717948717948,0.6899961597542242,0.1044432411263489
full,Set_A,142,133,25,0.6183333333333333,0.3995961314001691,0.1611910784833975
full,Set_A,146,37,3,0.5784313725490196,0.1417543859649123,0.0976379394211441
full,Set_A,165,89,8,0.7268518518518519,0.2928171459311424,0.0944926990805925
full,Set_A,167,194,7,0.622994652406417,0.0716646046327875,0.0932900415567197
full,Set_A,176,152,6,0.8356164383561644,0.21913501101631,0.0731204158103604
full,Set_A,183,97,5,0.5108695652173914,0.0847690023900825,0.1753165389426141
full,Set_A,188,165,24,0.5375295508274232,0.2478046752608658,0.1504274351610521
full,Set_A,199,92,5,0.6770114942528735,0.1178358578358578,0.0819228385599751
full,Set_A,208,169,10,0.6795597484276729,0.2407604306090252,0.0780817546360239
full,Set_A,226,110,17,0.6717267552182163,0.3004286528641718,0.1417533126642774
full,Set_A,243,139,16,0.8394308943089431,0.4178792983559664,0.1063008236477941
full,Set_A,248,95,7,0.6558441558441558,0.2458388556645342,0.091635322305467
full,Set_A,252,161,10,0.6821192052980133,0.2000582436174098,0.1055118033266784
full,Set_A,264,293,8,0.6791666666666666,0.0462453694452612,0.0869393302128076
full,Set_A,268,13,3,0.2666666666666666,0.2208624708624708,0.2830904926543232
full,Set_A,280,21,5,0.8,0.8476190476190477,0.1172097941667242
full,Set_A,281,112,3,0.4097859327217125,0.0454545454545454,0.092493054319137
full,Set_A,300,138,3,0.5703703703703703,0.1030651340996168,0.1067387553930262
full,Set_A,307,106,5,0.9247524752475248,0.5747619047619048,0.100556144184975
full,Set_A,318,36,3,0.6565656565656565,0.2833333333333333,0.1359814480621532
full,Set_A,338,104,4,0.6024999999999999,0.0676902267756417,0.1063779827404248
full,Set_A,365,57,6,0.869281045751634,0.4732323232323232,0.0867542807407073
full,Set_A,383,73,11,0.6979472140762464,0.3242403335362452,0.131526545959971
full,Set_A,384,52,6,0.6340579710144927,0.2365117521367521,0.1139584518960516
full,Set_A,388,145,17,0.7104779411764706,0.3641333847820402,0.1061903155005725
full,Set_A,392,53,7,0.7484472049689441,0.4645355949397302,0.1109731829419524
full,Set_A,394,99,7,0.7880434782608695,0.2746307613954672,0.0899662338549593
full,Set_A,397,49,5,0.3954545454545454,0.1010936955764542,0.1275029290571501
full,Set_A,400,79,5,0.8,0.5340544157002676,0.0899169090121166
full,Set_A,413,154,3,0.6600441501103752,0.355947784519213,0.0587396584781498
full,Set_A,417,46,6,0.7000000000000001,0.4832411755794576,0.1029916291826722
full,Set_A,420,269,97,0.6239510908654998,0.5027465001465345,0.2556952432833705
full,Set_A,435,44,4,0.5406249999999999,0.1249163879598662,0.1339073044744566
full,Set_A,440,35,5,0.5133333333333334,0.1619596777491514,0.1906767348876477
full,Set_A,443,256,11,0.7051948051948052,0.2370897337835605,0.1092958278314229
full,Set_A,444,59,4,0.4931818181818182,0.0778113648803304,0.1478487751208271
full,Set_A,449,154,6,0.6458333333333333,0.1436105709690615,0.1234118168906402
full,Set_A,452,33,4,0.4827586206896552,0.2803030303030303,0.1475118759161076
full,Set_A,458,185,12,0.6676300578034682,0.1765408410521921,0.0874399866401225
full,Set_C,73,158,13,0.716710875331565,0.2814869125738122,0.0716012369382445
full,Set_C,79,83,11,0.7777777777777778,0.6201933637187338,0.0946544517634517
full,Set_C,122,32,6,0.6538461538461539,0.5467143179110725,0.1449456432802466
full,Set_C,142,133,25,0.66,0.360699684778373,0.1472885095997609
full,Set_C,146,37,3,0.6666666666666667,0.1448412698412698,0.0801323255968653
full,Set_C,165,89,8,0.6759259259259259,0.2020014355464648,0.079354880329091
full,Set_C,167,194,7,0.7990832696715049,0.1839766603939602,0.037371874027898
full,Set_C,176,152,6,0.8036529680365297,0.373746157224418,0.0366637409417596
full,Set_C,183,97,5,0.758695652173913,0.3080627705627705,0.053704368087806
full,Set_C,188,165,24,0.5732860520094563,0.2511964572457378,0.1243490629027957
full,Set_C,199,92,5,0.6413793103448275,0.1770591320713966,0.0528524005794733
full,Set_C,208,169,10,0.7050314465408805,0.363937170920706,0.0499015129747013
full,Set_C,226,110,17,0.8070841239721694,0.6338305521694709,0.1028297058253446
full,Set_C,243,139,16,0.9070121951219512,0.646848091655077,0.0770542693717998
full,Set_C,248,95,7,0.6371753246753247,0.25806896921448,0.0652138360982067
full,Set_C,252,161,10,0.7496688741721854,0.15497595116397,0.0612867551795219
full,Set_C,264,293,8,0.6149122807017544,0.0943594694291461,0.0347497793071697
full,Set_C,268,13,3,0.4333333333333333,0.2507936507936508,0.2180118036125484
full,Set_C,280,21,5,0.925,0.8392857142857142,0.1407169660703672
full,Set_C,281,112,3,0.4159021406727828,0.0293040293040293,0.0445688974947846
full,Set_C,300,138,3,0.8740740740740741,0.4021680216802168,0.0298630721453011
full,Set_C,307,106,5,0.9801980198019802,0.6787301587301587,0.0312845672481833
full,Set_C,318,36,3,0.5656565656565656,0.2507936507936508,0.0797387189579462
full,Set_C,338,104,4,0.525,0.0485014501002873,0.0483082783146299
full,Set_C,365,57,6,0.7287581699346405,0.3469671905155777,0.0853389272268038
full,Set_C,383,73,11,0.7082111436950147,0.3136546698957029,0.123145073090997
full,Set_C,384,52,6,0.8442028985507246,0.4645847573479151,0.0948190100796434
full,Set_C,388,145,17,0.7444852941176472,0.5519056027506493,0.0891431407489496
full,Set_C,392,53,7,0.7453416149068324,0.5529507257448434,0.097518233779615
full,Set_C,394,99,7,0.920807453416149,0.6920068027210884,0.053188777565846
full,Set_C,397,49,5,0.7863636363636364,0.5057416267942584,0.0833211902414592
full,Set_C,400,79,5,0.6891891891891893,0.5791866028708135,0.0517633134060051
full,Set_C,413,154,3,0.7770419426048565,0.1996779388083736,0.0214799438241553
full,Set_C,417,46,6,0.65,0.383102766798419,0.1022059342133067
full,Set_C,420,269,97,0.6283864780628148,0.5103643396083888,0.2866385121772674
full,Set_C,435,44,4,0.66875,0.3656395687645687,0.0722906196391326
full,Set_C,440,35,5,0.6333333333333333,0.2846153846153846,0.1177186926385939
full,Set_C,443,256,11,0.7376623376623377,0.276927481215852,0.0437263072601205
full,Set_C,444,59,4,0.8500000000000001,0.242156862745098,0.0624853044349131
full,Set_C,449,154,6,0.6745495495495496,0.0773655810187688,0.0515038599199555
full,Set_C,452,33,4,0.913793103448276,0.4928571428571429,0.0924219906028793
full,Set_C,458,185,12,0.6589595375722543,0.2745069123084618,0.0583641233358702
pure,Set_C,73,152,10,0.7140845070422536,0.2964421296296295,0.0590572877004875
pure,Set_C,79,30,3,0.5061728395061729,0.1256410256410256,0.0912762020700546
pure,Set_C,142,47,6,0.4796747967479674,0.1602032227032227,0.1183352885882309
pure,Set_C,165,72,5,0.4343283582089552,0.0779604654559618,0.0670245238316378
pure,Set_C,188,156,22,0.6709633649932157,0.2549983945171339,0.1244684275152135
pure,Set_C,208,114,4,0.6159090909090907,0.0747876001263701,0.0345601628144107
pure,Set_C,243,79,3,0.7017543859649124,0.1261904761904762,0.0377133627359956
pure,Set_C,248,68,3,0.5179487179487179,0.0574494949494949,0.043032683027126
pure,Set_C,252,96,4,0.6521739130434783,0.0863884066829303,0.0401821292058292
pure,Set_C,264,207,4,0.5455665024630543,0.0280433028038039,0.0214264462419682
pure,Set_C,383,44,4,0.59375,0.1496498599439776,0.0832597836713134
pure,Set_C,388,78,3,0.3466666666666667,0.0378580890875972,0.0406124002215802
pure,Set_C,400,48,3,0.5407407407407407,0.1053426248548199,0.0597703576256344
pure,Set_C,420,76,22,0.4991582491582492,0.3053298489773224,0.2636699984000678
pure,Set_C,443,127,4,0.8353658536585366,0.120220099667774,0.0302071433566161
pure,Set_C,458,111,3,0.5895061728395061,0.0513939888480892,0.0277629873470528
