scenario,comparison,wtp,dc_mean,dc_lo,dc_hi,dq_mean,dq_lo,dq_hi,nmb_mean,p_ce
baseline,mla_obs,50000,-1892.0854375510598,-4740.046222112335,146.24251388447473,0.019161695410164256,0.005346288250193787,0.04260954251487786,2850.170208059273,0.9871
baseline,mla_obs,100000,-1892.0854375510598,-4740.046222112335,146.24251388447473,0.019161695410164256,0.005346288250193787,0.04260954251487786,3808.2549785674855,0.994
baseline,mla_obs,150000,-1892.0854375510598,-4740.046222112335,146.24251388447473,0.019161695410164256,0.005346288250193787,0.04260954251487786,4766.339749075697,0.9959
baseline,mla_aed,50000,-370.3645939552428,-1424.8518987997677,976.6341990129395,-0.0021851255645350715,-0.011634584084597875,0.00217557296950599,261.10831572848923,0.7101
baseline,mla_aed,100000,-370.3645939552428,-1424.8518987997677,976.6341990129395,-0.0021851255645350715,-0.011634584084597875,0.00217557296950599,151.85203750173562,0.6489
baseline,mla_aed,150000,-370.3645939552428,-1424.8518987997677,976.6341990129395,-0.0021851255645350715,-0.011634584084597875,0.00217557296950599,42.59575927498206,0.6042
baseline,mlg_obs,50000,-1378.3184000886865,-5352.448652063962,2155.0349592253597,0.028547395695390314,0.011129033229538732,0.05782777976917015,2805.688184858202,0.9083
baseline,mlg_obs,100000,-1378.3184000886865,-5352.448652063962,2155.0349592253597,0.028547395695390314,0.011129033229538732,0.05782777976917015,4233.057969627718,0.9593
baseline,mlg_obs,150000,-1378.3184000886865,-5352.448652063962,2155.0349592253597,0.028547395695390314,0.011129033229538732,0.05782777976917015,5660.427754397234,0.9811
baseline,mlg_aed,50000,143.4024435071306,-2805.0471378904276,3391.1414522021273,0.00720057472069099,-0.0043091872885612,0.018461032405568668,216.6262925274189,0.5639
baseline,mlg_aed,100000,143.4024435071306,-2805.0471378904276,3391.1414522021273,0.00720057472069099,-0.0043091872885612,0.018461032405568668,576.6550285619685,0.6364
baseline,mlg_aed,150000,143.4024435071306,-2805.0471378904276,3391.1414522021273,0.00720057472069099,-0.0043091872885612,0.018461032405568668,936.6837645965179,0.6866
baseline,mlg_mla,50000,513.7670374623733,-1880.1812567916359,3226.8848906415783,0.00938570028522606,0.0036395104658328847,0.019090706172010977,-44.48202320107033,0.4945
baseline,mlg_mla,100000,513.7670374623733,-1880.1812567916359,3226.8848906415783,0.00938570028522606,0.0036395104658328847,0.019090706172010977,424.8029910602327,0.6217
baseline,mlg_mla,150000,513.7670374623733,-1880.1812567916359,3226.8848906415783,0.00938570028522606,0.0036395104658328847,0.019090706172010977,894.0880053215359,0.7196
baseline,aed_obs,50000,-1521.720843595817,-4712.222372558132,1003.5887766906837,0.02134682097469933,0.005423107846363728,0.04802847682305826,2589.0618923307834,0.9434
baseline,aed_obs,100000,-1521.720843595817,-4712.222372558132,1003.5887766906837,0.02134682097469933,0.005423107846363728,0.04802847682305826,3656.4029410657495,0.9692
baseline,aed_obs,150000,-1521.720843595817,-4712.222372558132,1003.5887766906837,0.02134682097469933,0.005423107846363728,0.04802847682305826,4723.743989800715,0.9812
