feature_set,method,auc,ci_lo,ci_hi,prauc,brier,nb_5pct,nb_10pct,nb_15pct,delong_z,delong_p,delta_auc
postop_A,BalancedRF (baseline),0.6757619439868204,0.595262771721743,0.7599972289873755,0.13689716426475035,0.2278946819301233,0.02450783447167537,-0.029686174724342665,-0.09025594970812754,,,0.0
postop_A,RF + class_weight='balanced',0.6895936298736959,0.6074638060186892,0.774201384447435,0.1591288690133271,0.07224869743596074,0.027561269586179188,0.002883799830364714,-0.006555904804669964,0.9372237617806778,0.3486434694283034,0.013831685886875444
postop_A,SMOTE + RF,0.6842394288852278,0.6085998443046315,0.7603706441408055,0.1337891296521043,0.07663004290007083,0.02989152269987947,0.005258693808312127,-0.008621463852716657,0.6296630341004715,0.5289150729456973,0.008477484898407384
postop_A,Borderline-SMOTE + RF,0.681562328390994,0.5969592602187084,0.7606463622759521,0.14824319886537007,0.07427619362750343,0.029811169144234637,0.007972858354537739,-0.008531656937584196,0.4114561687276155,0.680738074756011,0.00580038440417352
postop_A,SVM-SMOTE + RF,0.678095826468973,0.5928974268816498,0.7579686330311656,0.14962100513089682,0.0731957112031572,0.02788268380875853,0.007294317217981336,-0.0038616973506960042,0.16463405057849764,0.8692320284183896,0.002333882482152605
postop_A,ADASYN + RF,0.6855093355299287,0.6097211794341225,0.7621827641332114,0.13388545387738965,0.0771613921607855,0.02997187625552431,0.006106870229007633,-0.00475976650202066,0.6898022692570576,0.4903185414409894,0.00974739154310822
postop_A,SMOTEENN + RF,0.6867792421746294,0.6134017719193161,0.7609247969405518,0.13403080801991185,0.10628355971621531,0.02892728003214142,-0.002544529262086523,-0.01966771441400989,0.8218838013905451,0.4111430330409651,0.011017298187808944
postop_A,SMOTETomek + RF,0.6842394288852278,0.6085998443046315,0.7603706441408055,0.1337891296521043,0.07663004290007083,0.02989152269987947,0.005258693808312127,-0.008621463852716657,0.6296630341004715,0.5289150729456973,0.008477484898407384
postop_A,XGBoost scale_pos_weight,0.6299080175727623,0.5416958041958042,0.7252622340021334,0.13072863082972913,0.08377026956497549,0.025150662916834068,0.013401187446988976,-0.0013471037269869798,-1.5738609039528002,0.11551961012525869,-0.045853926414058166
postop_A,XGBoost focal loss (γ=2),0.5328631246567821,0.4284610633876196,0.6406241416018386,0.11280633011840471,0.073281887318968,0.0,0.0,0.0,-2.5209369806012916,0.011704281164774066,-0.14289881933003834
postop_B,BalancedRF (baseline),0.6583264689730917,0.5679492901729739,0.7509302410655342,0.14234058771304917,0.22814953323283962,0.02450783447167537,-0.029686174724342665,-0.09025594970812754,,,0.0
postop_B,RF + class_weight='balanced',0.6774780340472268,0.5917994256160194,0.7642178591143164,0.15360163760429738,0.07129354967976431,0.024427480916030538,0.00356234096692111,-0.005298607992815452,1.3335025412394723,0.18236694210998516,0.01915156507413518
postop_B,SMOTE + RF,0.6748695771554091,0.5940067785786067,0.754638297102179,0.13499681149403248,0.07646425930494859,0.028204098031337888,0.008142493638676841,-0.008082622361921872,1.0408744098438578,0.29793383979949106,0.016543108182317412
postop_B,Borderline-SMOTE + RF,0.6702018121911038,0.5919970399954808,0.7493230712021608,0.1434869114135641,0.07440096450034929,0.02876657292085174,0.004410517387616622,-0.006735518634934892,0.7907750190896319,0.4290752898983248,0.011875343218012091
postop_B,SVM-SMOTE + RF,0.6750755079626579,0.5974543509317541,0.7533592980951828,0.15130291869766577,0.07275654487383272,0.030614704700683004,0.004410517387616622,-0.0048495734171531205,1.036081062216426,0.3001643263907525,0.016749038989566256
postop_B,ADASYN + RF,0.6740115321252059,0.5960763319926209,0.7534265234804122,0.13186917361321032,0.07699535701043375,0.027882683808758538,0.0030534351145038163,-0.01023798832510104,0.9811268846079808,0.3265301741753204,0.015685063152114265
postop_B,SMOTEENN + RF,0.6746979681493686,0.595813840881798,0.7554187417290085,0.13489422014283764,0.10734407686612185,0.02852551225391723,0.0020356234096692086,-0.022990570273911097,1.041800222597005,0.29750431093197927,0.016371499176276894
postop_B,SMOTETomek + RF,0.6748695771554091,0.5940067785786067,0.754638297102179,0.13499681149403248,0.07646425930494859,0.028204098031337888,0.008142493638676841,-0.008082622361921872,1.0408744098438578,0.29793383979949106,0.016543108182317412
postop_B,XGBoost scale_pos_weight,0.6244165293794618,0.5360360383330403,0.7209960779129209,0.12583039963039805,0.08364546576519681,0.025552430695058255,0.011535199321458862,-0.0029636281993713487,-1.1068735835938501,0.2683485885055661,-0.03390993959362987
postop_B,XGBoost focal loss (γ=2),0.5340643876990665,0.4312212574990853,0.6404439139531063,0.11211002050578053,0.07328188527031644,0.0,0.0,0.0,-2.1860077474612742,0.028815038518955394,-0.12426208127402516
