wtp,best_strategy,EV_max_NMB,EV_NMB_obs,EV_NMB_aed,EV_NMB_mla,EV_NMB_mlg,p_best_obs,p_best_aed,p_best_mla,p_best_mlg,policy,mapping_sens,mapping_spec
50000,obs,314985.16809178627,314985.16809178627,314312.2694809369,314598.57731351355,314927.71219951415,0.4289,0.076,0.0841,0.411,universal_aed_defer,0.8542,0.2619
100000,mlg,639063.8302984934,638178.6176712186,637743.5258446882,638014.0281058104,639063.8302984934,0.2945,0.0727,0.0665,0.5663,universal_aed_defer,0.8542,0.2619
150000,mlg,963199.9483974727,961372.067250651,961174.7822084397,961429.4788981072,963199.9483974727,0.2016,0.0665,0.0449,0.687,universal_aed_defer,0.8542,0.2619
50000,mlg,315378.7988292902,314810.10118629294,314129.8653314375,314886.7116229621,315378.7988292902,0.1043,0.1489,0.0172,0.7296,observation_defer,0.2292,0.9077
100000,mlg,638648.1247115312,637819.458162976,637375.5689012712,637972.7632192656,638648.1247115312,0.055,0.1794,0.0079,0.7577,observation_defer,0.2292,0.9077
150000,mlg,961917.4505937723,960828.8151396591,960621.2724711049,961058.8148155693,961917.4505937723,0.0308,0.2008,0.0036,0.7648,observation_defer,0.2292,0.9077
50000,obs,314983.18294109456,314983.18294109456,314311.44386578887,314597.7762730485,314926.27317081176,0.4284,0.0759,0.0845,0.4112,ceeg_defer,0.8542,0.2619
100000,mlg,639059.8684937138,638173.7386780495,637740.2535139316,638010.7601911298,639059.8684937138,0.2951,0.0726,0.0666,0.5657,ceeg_defer,0.8542,0.2619
150000,mlg,963193.4638166156,961364.2944150043,961169.0631620747,961423.744109211,963193.4638166156,0.2017,0.0668,0.0445,0.687,ceeg_defer,0.8542,0.2619
