feature,coef,se,ci_lo,ci_hi,p_value,OR_per_SD,OR_lo,OR_hi
sex,0.2192,0.1627,-0.0997,0.5382,0.1779,1.245,0.905,1.713
age,-0.0216,0.1526,-0.3207,0.2775,0.8875,0.979,0.726,1.32
blood_type,0.0373,0.1552,-0.2669,0.3416,0.8099,1.038,0.766,1.407
sdh_type,-0.073,0.1864,-0.4384,0.2923,0.6952,0.93,0.645,1.34
sdh_thickness,0.0035,0.17,-0.3297,0.3366,0.9838,1.003,0.719,1.4
csdh_size_change,-0.0797,0.1865,-0.4451,0.2857,0.6691,0.923,0.641,1.331
mid_shift,0.2405,0.1644,-0.0817,0.5627,0.1434,1.272,0.922,1.755
hematoma_lat,-0.1346,0.1502,-0.4289,0.1598,0.3701,0.874,0.651,1.173
collection_density,0.2344,0.1828,-0.1239,0.5927,0.1997,1.264,0.883,1.809
preop_gcs,-0.0272,0.1402,-0.302,0.2477,0.8464,0.973,0.739,1.281
epilepsy_hx,0.0636,0.1276,-0.1866,0.3137,0.6184,1.066,0.83,1.368
num_prev_sdh,0.1212,0.158,-0.1885,0.4309,0.4432,1.129,0.828,1.539
demographic,0.0,,,,,1.0,,
procedures,-0.0,0.0,-0.0,-0.0,0.0016,1.0,1.0,1.0
surg_decompression,-0.6832,0.213,-1.1008,-0.2657,0.0013,0.505,0.333,0.767
mma_embo,-0.4142,0.1819,-0.7708,-0.0576,0.0228,0.661,0.463,0.944
drainage,0.367,0.1026,0.1659,0.5681,0.0003,1.443,1.18,1.765
postop_gcs,-0.108,0.1369,-0.3763,0.1603,0.4301,0.898,0.686,1.174
