cohort,set,scale,estimator,k_sites,n_excluded,pooled_auc,ci_lo,ci_hi,tau2,tau,I2_pct,Q,Q_df,p_heterogeneity,pred_int_lo,pred_int_hi
full,Set_A,raw_auc,DerSimonian-Laird,42,0,0.6702,0.6317,0.7087,0.004851,0.0696,33.7,61.88,41,0.0191,0.5239,0.8164
full,Set_A,raw_auc,Paule-Mandel,42,0,0.6703,0.6321,0.7085,0.004619,0.068,33.7,61.88,41,0.0191,0.5239,0.8164
full,Set_A,raw_auc,REML/iterated,42,0,0.6703,0.6321,0.7085,0.004619,0.068,33.7,61.88,41,0.0191,0.5239,0.8164
full,Set_A,logit_auc,DerSimonian-Laird,42,0,0.642,0.6087,0.6741,0.006222,0.0789,2.8,42.19,41,0.4195,0.5909,0.6902
full,Set_A,logit_auc,Paule-Mandel,42,0,0.6422,0.6087,0.6744,0.007134,0.0845,2.8,42.19,41,0.4195,0.5909,0.6902
full,Set_A,logit_auc,REML/iterated,42,0,0.6422,0.6087,0.6744,0.007134,0.0845,2.8,42.19,41,0.4195,0.5909,0.6902
full,Set_C,raw_auc,DerSimonian-Laird,42,0,0.7388,0.695,0.7826,0.010062,0.1003,55.7,92.51,41,0.0,0.5311,0.9465
full,Set_C,raw_auc,Paule-Mandel,42,0,0.7435,0.706,0.7811,0.00526,0.0725,55.7,92.51,41,0.0,0.5311,0.9465
full,Set_C,raw_auc,REML/iterated,42,0,0.7435,0.706,0.7811,0.00526,0.0725,55.7,92.51,41,0.0,0.5311,0.9465
full,Set_C,logit_auc,DerSimonian-Laird,42,0,0.6775,0.6474,0.7062,-0.008352,0.0,0.0,39.6,41,0.533,0.6505,0.7152
full,Set_C,logit_auc,Paule-Mandel,42,0,0.6837,0.6515,0.7143,0.0,0.0,0.0,39.6,41,0.533,0.6505,0.7152
full,Set_C,logit_auc,REML/iterated,42,0,0.6837,0.6515,0.7143,0.0,0.0,0.0,39.6,41,0.533,0.6505,0.7152
pure,Set_C,raw_auc,DerSimonian-Laird,16,0,0.5921,0.5336,0.6506,-0.000262,0.0,0.0,14.74,15,0.47,0.5267,0.6567
pure,Set_C,raw_auc,Paule-Mandel,16,0,0.5917,0.5323,0.6511,0.0,0.0,0.0,14.74,15,0.47,0.5267,0.6567
pure,Set_C,raw_auc,REML/iterated,16,0,0.5917,0.5323,0.6511,0.0,0.0,0.0,14.74,15,0.47,0.5267,0.6567
pure,Set_C,logit_auc,DerSimonian-Laird,16,0,0.5757,0.5316,0.6187,-0.062903,0.0,0.0,11.77,15,0.6963,0.5055,0.6428
pure,Set_C,logit_auc,Paule-Mandel,16,0,0.5756,0.5116,0.6372,0.0,0.0,0.0,11.77,15,0.6963,0.5055,0.6428
pure,Set_C,logit_auc,REML/iterated,16,0,0.5756,0.5116,0.6372,0.0,0.0,0.0,11.77,15,0.6963,0.5055,0.6428
